#药材名称	异名
丁香蓼	丁子蓼
丁香蓼	红豇豆
丁香蓼	喇叭草
丁香蓼	水杨柳
丁香蓼	田蓼草
丁香蓼	红麻草
丁香蓼	银仙草
丁香蓼	田痞草
丁香蓼	水蓬砂
丁香蓼	水硼砂
丁癸草	人字草
丁癸草	苦地枕
丁癸草	铺地锦
丁癸草	乌蝇翼草
丁癸草	铺地草
丁癸草	金线吊虾蟆
丁癸草	乌龙草
丁癸草	红骨丁地青
丁癸草	斜对叶
丁榔皮	松杨木皮
丁香树皮	丁皮
丁香树皮	丁香皮
七叶莲	小叶鸭脚木
七叶莲	汉桃叶
七叶莲	七叶烂
七叶莲	狗脚蹄
七叶莲	手树
七叶莲	七加皮
七叶莲	七叶藤
七层楼	娃儿藤
七层楼	一见香
七层楼	老君须
七层楼	土细辛
七层楼	双飞蝴蝶
七层楼	须参
七层楼	地参
七层楼	山花椒
七层楼	金钱吊胡须
七层楼	多花娃儿藤
七层楼	九层衣
七层楼	了刁藤
七层楼	痧药
七厘丹	人头发
七厘丹	藜芦
七星草	鹅掌金星草
七星草	金鸡脚
七星草	鹅掌金星
七星剑	小叶不红
七星剑	星色草
七星剑	假芥兰
七星剑	独行千里
七星剑	野香薷
卜芥	独脚莲
卜芥	观音莲
卜芥	广东万年青
卜芥	山芋
卜芥	老虎耳
卜芥	小虫芋
卜芥	虎耳芋
卜芥	狼毒
卜芥	野山芋
卜芥	假海芋
卜芥	老虎芋
八月札	燕覆子
八月札	畜當子
八月札	拿子
八月札	浮校子
八月札	覆子
八月札	八月楂
八月札	木通子
八月札	压惊子
八月札	八月瓜
八月札	预知子
八月札	八月果
八月瓜	牛腰子果
八月瓜	六月瓜
八月瓜	小八瓜
八月瓜	八月果
八月瓜	野人瓜
八仙草	锯子草
八仙草	拉拉藤
八仙草	小锯藤
八仙草	小茜草
八仙草	飞扬藤
八仙草	红丝线
八仙草	血见愁
八角香	蜘蛛草
八角香	羊角天麻
八角莲	鬼臼
八角莲	爵犀
八角莲	马目毒公
八角莲	九臼
八角莲	天臼
八角莲	解毒
八角莲	害母草
八角莲	独脚莲
八角莲	独荷草
八角莲	羞天花
八角莲	术律草
八角莲	琼田草
八角莲	山荷叶
八角莲	旱荷
八角莲	八角盘
八角莲	金星八角
八角莲	独叶一枝花
八角莲	八角连
八角莲	金魁莲
八角莲	八角乌
八宝茶	甘青卫矛
八楞木	八楞麻
八楞木	青竹标
八楞木	八面风
八楞木	三棱草
八角枫叶	大风药叶
八角枫花	牛尾巴花
八角枫根	白龙须
八角枫根	白金条
八角枫根	白筋条
八角金盘	手树
八角金盘	金刚纂
八角茴香	舶上茴香
八角茴香	大茴香
八角茴香	舶茴香
八角茴香	八角珠
八角茴香	八角香
八角茴香	八角大茴
八角茴香	八角
八角茴香	大料
八角茴香	五香八角
八角莲叶	鬼臼叶
人尿	溲
人尿	小便
人尿	人溺
人尿	轮回酒
人尿	还元汤
人参	人衔
人参	鬼盖
人参	黄参
人参	玉精
人参	血参
人参	土精
人参	地精
人参	金井玉阑
人参	孩儿参
人参	棒锤
人中白	溺白堑
人中白	溺堑
人中白	白秋霜
人中白	秋白霜
人中白	粪霜
人中白	尿壶垢
人中白	尿干子
人中黄	甘草黄
人中黄	甘中黄
人头七	开口箭
人头七	人参果
人头七	牛党参
人血七	野人血草
人血七	大人血七
人血七	大金盆
人血七	野人血
人乳汁	奶汁
人参叶	人参苗
人参叶	参叶
人参芦	参芦
人参芦	竹节参
人面子	人面果
人面子	银莲果
人指甲	手爪甲
人指甲	人退
人指甲	筋退
入地金牛	蔓椒
入地金牛	豕椒
入地金牛	猪椒
入地金牛	彘椒
入地金牛	狗椒
入地金牛	金椒
入地金牛	金牛公
入地金牛	两边针
入地金牛	山椒
入地金牛	双背针
入地金牛	光叶花椒
入地金牛	鸟不踏
入地金牛	猫公刺
入地金牛	山胡椒
入地金牛	叶下穿针
入地蜈蚣	倒地蜈蚣
入地蜈蚣	蜈蚣草
入地蜈蚣	倒麒麟
入地蜈蚣	地蜈蚣
入地蜈蚣	过路蜈蚣
入地蜈蚣	过路鹅江
九牛造	震天雷
九牛造	九牛七
九牛造	翻天印
九牛造	柳州七
九龙藤	过岗龙
九龙藤	过江龙
九龙藤	邬郎藤
九龙藤	飞扬藤
九龙藤	山道藤
九龙藤	九龙根
九龙藤	羊蹄风
九龙藤	黄开口
九龙藤	子燕藤
九龙藤	五里藤
九龙藤	双木蟹
九龙藤	马蹄叶根
九仙草	九龙草
九仙草	珍珠草
九仙草	酒仙草
九仙草	小星宿草
九仙草	山柏枝
九仙草	绿珊瑚
九仙草	撒花一颗针
九仙草	一颗松
九头草	瞿麦
九头草	黄金铁
九头草	马柴胡
九头草	金柴胡
九头草	细叶独根
九头草	癞头参
九里香	满山香
九里香	千里香
九里香	五里香
九里香	过山香
九里香	千只眼
九里香	水万年青
九香虫	黑兜虫
九香虫	瓜黑蝽
九香虫	屁板虫
九倒生	铁郎鸡
九倒生	铁扫把
九倒生	金鸡尾
九倒生	线鸡尾
九倒生	地柏枝
九管血	八爪金龙
九管血	八爪龙
九管血	矮茎朱砂根
九管血	开喉箭
九管血	猪总管
九管血	团叶八爪金龙
九管血	矮陀陀
九管血	地柑子
九管血	散血丹
九管血	血猴爪
九管血	乌肉鸡
九管血	矮凉伞子
九管血	小罗伞
九管血	山豆根
九管血	活血胎
九节菖蒲	小菖蒲
九节菖蒲	外菖蒲
九节菖蒲	节菖蒲
九节菖蒲	鸡爪莲
九龙藤叶	燕子尾
九龙藤叶	猪蹄叉
九龙藤叶	羊蹄叉
九龙藤叶	夜合草
九龙藤叶	千打捶
九龙藤叶	马蹄叶
九眼独活	土当归
九眼独活	独活
九眼独活	水白芷
九眼独活	心叶大眼独活
九子不离母	兴元府草薛
九子不离母	黄山药
九子不离母	蛇头草
九子不离母	草薛
九子不离母	白山药
九子不离母	次黄山药
九子不离母	黄姑里
九子连环草	珠串珠
九子连环草	夜白鸡
九子连环草	串白鸡
九子连环草	硬九头狮子草
九子连环草	肉连环
九子连环草	连环草
九子连环草	九节虫
九子连环草	一串纽子
九子连环草	野节兰
九子连环草	连珠三七
九子连环草	铜锤草
九牛造茎叶	无
九头狮子草	接骨草
九头狮子草	土细辛
九头狮子草	万年青
九头狮子草	铁焊椒
九头狮子草	绿豆青
九头狮子草	王灵仁
九头狮子草	辣叶青药
九头狮子草	尖惊药
九头狮子草	项开口
九头狮子草	蛇舌草
九头狮子草	化痰青
九头狮子草	四季青
九头狮子草	三面青
九头狮子草	菜豆青
九头狮子草	铁脚万年青
九头狮子草	九节篱
九头狮子草	咳风尘
九头狮子草	晕病药
刀豆	挟剑豆
刀豆	刀豆子
刀豆	大戈豆
刀豆	大刀豆
刀豆	刀鞘豆
刀豆	白凤豆
刀豆	刀板仁豆
了哥王	九信菜
了哥王	鸟子麻
了哥王	山麻皮
了哥王	埔银
了哥王	雀仔麻
了哥王	假黄皮
了哥王	地棉
了哥王	指皮麻
了哥王	石棉皮
了哥王	消山药
了哥王	大黄头树
了哥王子	桐皮子
了哥王子	狗信药子
了哥王子	九信草子
了哥王根	毒除根
了哥王根	地棉根
了哥王根	鱼胆根
了哥王根	地谷根
了哥王根	七麻根
了哥王根	红赤七
了哥王根	别南根
了哥王根	独薯根
三七	山漆
三七	金不换
三七	血参
三七	人参三七
三七	佛手山漆
三七	参三七
三七	田漆
三七	田三七
三七	田七
三七	滇三七
三棱	京三棱
三棱	红蒲根
三棱	荆三棱
三棱	光三棱
三七花	田七花
三叉虎	三脚赶
三叉虎	三桠苦
三叉虎	三桠虎
三爪龙	狗脚迹
三分三	大搜山虎
三分三	野旱烟
三分丹	蛇花藤
三分丹	白前草
三分丹	老虎须
三分丹	毛果娃儿藤
三叶莲	大木通
三白草	水木通
三白草	五路白
三白草	白水鸡
三白草	白花照水莲
三白草	田三白
三白草	白黄脚
三加皮	白第根
三加皮	刺三甲
三加皮	风党第
三加皮	苦粉第
三加皮	刺三加
三加皮	苦刺头
三加皮	三甲皮
三加皮	鸡脚菜
三加皮	刺五爪
三加皮	三叶五加
三加皮	香藤刺
三加皮	三五加
三百银	白杜仲
三百银	中叶杜仲
三百银	婆婆针线包
三色堇	蝴蝶花
三色堇	游蝶花
三角泡	假苦瓜
三角泡	假蒲达
三角泡	包袱草
三角泡	风船葛
三角泡	鬼灯笼
三角泡	三角灯笼
三角泡	金丝苦楝
三角泡	三角藤
三角泡	倒地铃
三角泡	粽子草
三角泡	炮掌果
三角泡	小果倒地铃
三角泡	白花仔草
三角咪	山板凳
三角咪	毛叶板凳果
三张叶	三块瓦
三张叶	三叶珍珠草
三张叶	三支叶
三张叶	节骨风
三张叶	解毒草
三张叶	跌打鼠
三枝叶	三叉叶
三枝叶	三爪皮
三枝叶	喜叶子
三钻风	山胡椒
三钻风	三钻七
三消草	螃蟹花
三消草	金花草
三消草	菽草翘摇
三消草	白三叶
三消草	兰翅摇
三楞草	三轮草
三楞草	四方草
三楞草	细三棱
三楞草	三棱草
三颗针	铜针刺
三十六荡	老君须
三十六荡	鸡骨香
三十六荡	双飞蝴蝶
三十六荡	土细辛
三十六荡	藤叶细辛
三十六荡	哮喘草
三十六荡	关腰草
三十六荡	芒尾蛇
三十六荡	毛管细辛
三十六荡	王劳伤
三十六荡	一支香
三十六荡	老虎须
三十六荡	白前
三十六荡	上树蜘蛛
三十六荡	千斤拔
三十六荡	三十六根
三十六荡	落地蜘蛛
三十六荡	落地金瓜
三十六荡	小白薇
三十六荡	羊角草
三十六荡	藤细辛
三爪金龙	小红藤
三爪金龙	绿葡萄藤
三爪金龙	喜马拉雅爬山虎
三爪金龙	三爪风
三爪金龙	大血藤
三白草根	三白根
三白草根	塘边藕
三白草根	地藕
三白草根	百节
三白草根	过塘藕
三白草根	水莲藕
三白草根	白莲藕
三白草根	九节藕
三台红花	三多
三台红花	大罗伞
三台红花	大常山
三台红花	山利桐
三台红花	山枇杷
三台红花	三百棒
三台红花	火山麻
三台红花	大叶土常山
三台红花	三权树
三点金草	八字草
三点金草	小蝴蝶
三点金草	遍地撒金钱
三点金草	哮灵草
三点金草	蝇翅草
三点金草	胡蝇翼
三点金草	三砚仔草
三点金草	四季春
三点金草	三耳草
三点金草	珠子草
三点金草	蚂蚁草
三点金草	品字草
三点金草	吐泻草
三点金草	三叶金
三叉凤尾蕨	老泻风
三叉凤尾蕨	凤尾草
三叶铜钱草	山酢浆草
三对叶丹参	小红参
三对叶丹参	小紫丹参
三对叶丹参	小丹参
三花枪刀药根	土巴戟
三角叶风毛菊	白牛蒡根
三角叶风毛菊	毛叶威灵仙
三角叶风毛菊	大叶防风
三角叶风毛菊	翻白叶
三角叶风毛菊	猪蹄叉
三角叶风毛菊	白紫菀
干贝	江瑶柱
干贝	扇贝柱
干苔	石发
干苔	海苔
干苔	海苔菜
干苔	苔菜
干苔	海青菜
干苔	海菜
干姜	白姜
干姜	均姜
干漆	漆渣
干漆	续命筒
干漆	黑漆
干漆	漆底
干漆	漆脚
干冬菜	霉干菜
干冬菜	陈干菜
干地黄	生地黄
干地黄	原生地
干地黄	干生地
干饧糟	干糖糟
干岩矸	岩黄连
干岩矸	毛紫堇
干岩矸	毛黄连
干岩矸	遍山白
干岩矸	干岩堇
干檀香	小青皮
干檀香	小青香
干檀香	小仙人掌
干檀香	香疙瘩
干檀香	干香树
干檀香	山苏木
干檀香	土檀香
工布乌头	雪山一支蒿
土瓜	土蛋
土瓜	滇土瓜
土瓜	山土瓜
土瓜	红土瓜
土瓜	山红苕
土瓜	地瓜
土附	土部
土附	鲈鳢
土附	荡部
土附	荡鱼
土附	土步
土附	吐哺
土附	菜花鱼
土附	鲋鱼
土附	土鹜
土附	土哺
土附	土鲋
土蜂	蜚零
土蜂	马蜂
土蜂	壇
土丁桂	毛辣花
土丁桂	银丝草
土丁桂	过饥草
土丁桂	小鹿衔
土丁桂	鹿含草
土丁桂	小本白花草
土丁桂	石南花
土丁桂	泻痢草
土丁桂	银花草
土丁桂	毛将军
土丁桂	白毛草
土丁桂	白毛莲
土丁桂	白毛将
土人参	参草
土人参	土高丽参
土人参	假人参
土人参	土洋参
土人参	土参
土人参	紫人参
土人参	瓦坑头
土人参	福参
土人参	土红参
土人参	飞来参
土人参	瓦参
土人参	桃参
土人参	申时花
土三七	见肿消
土三七	乳香草
土三七	奶草
土三七	散血草
土三七	和血丹
土三七	天青地红
土三七	破血丹
土三七	三七草
土三七	血当归
土三七	红背三七
土三七	散血丹
土三七	血三七
土三七	菊叶三七
土三七	水三七
土三七	紫背三七
土三七	狗头三七
土大黄	吐血草
土大黄	箭头草
土大黄	救命王
土大黄	金不换
土大黄	红筋大黄
土大黄	野蒿英
土大黄	广角
土大黄	铁蒲扇
土大黄	大晕药
土大黄	包金莲
土大黄	止血草
土大黄	牛大黄
土大黄	土三七
土大黄	血当归
土大黄	萝卜奇
土大黄	血三七
土大黄	癣药
土大黄	化血莲
土马鬃	大金发藓
土马鬃	独根草
土马鬃	眼丹药
土马鬃	小松柏
土马鬃	一口血
土马鬃	矮松树
土马鬃	万年杉
土马鬃	拳头草
土木香	青木香
土木香	祁木香
土木香	藏木香
土贝母	土贝
土贝母	大贝母
土贝母	地苦胆
土贝母	草贝
土贝母	藤贝母
土贝母	垒贝
土贝母	猪屎贝
土牛膝	杜牛膝
土田七	小田七
土田七	竹田七
土田七	毛七
土田七	姜三七
土田七	三七姜
土田七	姜叶三七
土田七	竹叶三七
土田七	姜七
土田七	姜田七
土麦冬	麦门冬
土良姜	野姜
土良姜	良姜
土附子	土附卵
土细辛	杜细辛
土荆皮	罗汉松皮
土荆皮	土槿皮
土荆皮	荆树皮
土荆皮	金钱松皮
土荆皮	金松
土荆皮	水树
土荆芥	鹅脚草
土荆芥	红泽兰
土荆芥	天仙草
土荆芥	臭草
土荆芥	钩虫草
土荆芥	鸭脚草
土荆芥	香藜草
土荆芥	臭蒿
土荆芥	杀虫芥
土荆芥	藜荆芥
土荆芥	臭藜藿
土荆芥	洋蚂蚁草
土荆芥	虎骨香
土荆芥	虱子草
土荆芥	狗咬癀
土荆芥	火油草
土荆芥	痱子草
土荆芥	杀虫草
土荆芥	大本马齿苋
土茯苓	禹余粮
土茯苓	白余粮
土茯苓	草禹余粮
土茯苓	刺猪苓
土茯苓	过山龙
土茯苓	硬饭
土茯苓	冷饭团
土茯苓	仙遗粮
土茯苓	土草薛
土茯苓	山猪粪
土茯苓	山地栗
土茯苓	过冈龙
土茯苓	山牛
土茯苓	冷饭头
土茯苓	山归来
土茯苓	久老薯
土茯苓	毛尾薯
土茯苓	地胡苓
土茯苓	狗老薯
土茯苓	饭团根
土茯苓	土苓
土茯苓	狗朗头
土茯苓	尖光头
土香薷	香草头
土香薷	土薄荷
土香薷	土藿香
土香薷	野紫苏
土党参	奶参
土党参	土羊乳
土党参	白洋参
土党参	对月参
土党参	野党参
土党参	浮萍参
土党参	土人参
土党参	土沙参
土党参	百丈光
土党参	土参
土党参	土洋参
土党参	人参薯
土党参	模登果
土党参	孩儿葛
土党参	奶浆根
土党参	南人参
土党参	小人参
土党参	川人参
土常山	大叶土常山
土常山	大叶老鼠竹
土常山	硬毛绣球
土常山	癞疠树
土常山	白常山
土常山	白花常山
土常山	鸡跨裤
土碎补	猴子蕨
土碎补	水龙骨
土碎补	阿里山水龙骨
土圞儿	地栗子
土圞儿	土子
土圞儿	土蛋
土圞儿	九牛子
土圞儿	九子羊
土箭芪	山皮条
土箭芪	矮它它
土箭芪	矮陀陀
土箭芪	一把香
土箭芪	黄狗头
土箭芪	藤构
土箭芪	构构麻
土箭芪	香构
土一枝蒿	千叶蓍
土一枝蒿	马茴香
土一枝蒿	飞天蜈蚣
土一枝蒿	一支蒿
土一枝蒿	野一枝蒿
土一枝蒿	蜈蚣草
土一枝蒿	西南蓍草
土一枝蒿	茅草一支蒿
土一枝蒿	白花一支蒿
土大黄叶	金不换叶
土大黄叶	晕药叶
土千年健	千年矮
土千年健	土千年剑
土千年健	乌饭果根
土千年健	蚂蚁果
土千年健	小马扎豆
土千年健	毛叶乌饭
土瓜狼毒	鸡肠狼毒
土瓜狼毒	隔山龙
土瓜狼毒	顺水石
土瓜狼毒	大萝卜
土瓜狼毒	一把香
土瓜狼毒	细狗闹花
土瓜狼毒	小狼毒
土瓜狼毒	山狼毒
大麦	辉
大麦	稞麦
大麦	辉麦
大麦	牟麦
大麦	饭麦
大麦	赤膊麦
大青	大青叶
大青	臭大青
大枣	壶
大枣	木蜜
大枣	干枣
大枣	美枣
大枣	良枣
大枣	红枣
大枣	干赤枣
大枣	胶枣
大枣	南枣
大活	独活
大活	香大活
大活	走马芹
大活	走马芹筒子
大活	河北独活
大活	短毛白芷
大黄	将军
大黄	黄良
大黄	火参
大黄	肤如
大黄	蜀大黄
大黄	锦纹大黄
大黄	牛舌大黄
大黄	锦纹
大黄	生军
大黄	川军
大戟	邛钜
大戟	红芽大戟
大戟	紫大戟
大戟	下马仙
大戟	京大戟
大戟	乳浆草
大戟	龙虎草
大戟	九头狮子草
大戟	将军草
大戟	膨胀草
大戟	黄花大戟
大戟	黄芽大戟
大戟	千层塔
大戟	搜山虎
大戟	穿山虎
大蒜	胡蒜
大蒜	葫
大蒜	独头蒜
大蒜	独蒜
大蒜	青蒜
大蓟	马蓟
大蓟	虎蓟
大蓟	刺蓟
大蓟	山牛蒡
大蓟	鸡项草
大蓟	鸡脚刺
大蓟	野红花
大蓟	茨芥
大蓟	牛触嘴
大蓟	鼓椎
大蓟	鸡姆刺
大蓟	恶鸡婆
大蓟	驴扎嘴
大蓟	马刺刺
大蓟	牛口舌
大蓟	老虎刺
大蓟	草鞋刺
大蓟	刷把头
大蓟	土红花
大蓟	野刺菜
大蓟	牛不嗅
大蓟	猪妈菜
大蓟	大牛喳口
大蓟	山萝卜
大蓟	猪姆刺
大蓟	六月霜
大蓟	蚁姆刺
大蓟	牛口刺
大蓟	老虎脚
大蓟	刺萝卜
大蓟	牛刺第菜
大蓟	第菜
大蓟	鸟不扑
大箭	水泽泻
大箭	汗枪箭
大丁草	烧金草
大丁草	豹子药
大丁草	苦马菜
大丁草	米汤菜
大丁草	鸡毛蒿
大丁草	白小米菜
大丁草	踏地香
大丁草	丁萝卜
大丁草	龙根草
大丁草	翻白叶
大丁草	小火草
大丁草	廉草
大木通	接骨丹
大木通	白头公公
大木通	黄藤通
大木通	丝瓜藤
大木通	银叶铁线莲
大风子	大枫子
大风子	麻风子
大风子	驱虫大风子
大风药	叶青
大风药	纤序鼠李
大风药	皂布叶
大乌泡	老牛黄泡
大乌泡	乌泡
大乌泡	大红黄泡
大乌泡	多苞片悬钩子
大叶藜	血见愁
大叶藜	杂灰菜
大叶藜	八角灰菜
大叶藜	大叶灰菜
大叶藤	越南大叶藤
大叶藤	奶汁藤
大叶藤	假黄藤
大叶藤	黄藤子
大叶藻	海带
大叶藻	海马蔺
大叶藻	海草
大白药	小白前
大白药	蛆藤
大白药	大对节生
大白药	大掰角牛
大白药	小白药
大头陈	千锤草
大头陈	乌头风
大头陈	土夏枯草
大头陈	假薄荷
大头陈	黑头草
大头陈	神曲草
大头陈	地松茶
大头陈	石棘
大血藤	血藤
大血藤	过山龙
大血藤	红藤
大血藤	千年健
大血藤	血竭
大血藤	见血飞
大血藤	血通
大血藤	大活血
大血藤	黄省藤
大血藤	红血藤
大血藤	血木通
大红袍	簸赭子
大红袍	矮零子
大红袍	豆瓣柴
大红袍	铁打杵
大红袍	碎米果
大红袍	牙痛草
大红袍	碎米颗
大红袍	碎米柴
大块瓦	花叶细辛
大块瓦	矮细辛
大块瓦	铺地细辛
大块瓦	土细辛
大块瓦	白三百棒
大沙叶	大叶满天星
大沙叶	满天星
大沙叶	山铁尺
大沙叶	青风木
大沙叶	港大沙叶
大沙叶	香港大沙叶
大沙叶	茜木
大沙叶	巴弗他树
大尾摇	鱿鱼草
大尾摇	斑草
大尾摇	猫尾草
大尾摇	象鼻癀
大尾摇	象鼻草
大尾摇	墨鱼须草
大尾摇	大狗尾
大尾摇	象鼻花
大尾摇	天芥菜
大尾摇	狗尾虫
大尾摇	四角苏
大尾摇	勾头蛇
大尾摇	臭柠檬
大尾摇	狗尾草
大尾摇	全虫草
大驳骨	鸭子花
大驳骨	大还魂
大驳骨	龙头草
大驳骨	大驳骨消
大驳骨	大驳骨丹
大驳骨	大接骨
大驳骨	大骨节草
大驳骨	大骨碎
大驳骨	大骨风
大驳骨	接骨木
大青叶	蓝叶
大青叶	蓝菜
大青盐	戌盐
大青盐	卤品裹
大青盐	胡盐
大青盐	秃登盐
大青盐	阴土盐
大青盐	寒盐
大青盐	冰石
大青盐	羌盐
大青盐	青盐
大青盐	岩盐
大青根	淡婆婆
大青根	山漆
大青根	地骨皮
大青根	假青根
大青根	臭根
大青根	野地骨
大青根	土地骨皮
大青根	路边青
大青根	羊咪青
大青根	大叶地骨皮
大青根	臭婆根
大青根	土骨皮
大金刀	水石韦
大金刀	银茶匙
大金刀	牌坊草
大金刀	青竹标
大金刀	青卷莲
大金刀	肺经草
大金刀	梳子草
大金刀	西风剑
大金刀	肺甲
大金刀	阿加珍
大泡通	大通塔
大泡通	柴厚朴
大泡通	野巴戟
大泡通	隔子通
大泡通	万贯钱
大泡通	豆豉杆
大泡通	大加皮
大泡通	绒毛鸭脚木
大泡通	泡桐树
大泡通	牛嗓管
大泡通	假通脱木
大泡通	伞把木
大草乌	昆明堵喇
大草乌	草乌
大钱麻	梗麻
大钱麻	掌叶蝎子草
大钱麻	红活麻
大钱麻	大钱麻
大钱麻	大前麻
大钱麻	虎麻
大钱麻	禾麻
大钱麻	蔻麻
大钱麻	掌叶蝎子草
大狼毒	格枝糯
大狼毒	乌吐
大狼毒	五朵下西山
大狼毒	搜山虎
大狼毒	土瓜狼毒
大狼毒	矮红
大狼毒	隔山堆
大浮萍	水浮莲
大浮萍	猪姆莲
大浮萍	天浮萍
大浮萍	大浦藻
大浮萍	浮漂
大浮萍	浮萍
大浮萍	莲花藻
大浮萍	水白菜
大浮萍	草包草
大浮萍	水芙蓉
大浮萍	番萍
大浮萍	大番萍
大浮萍	水荷莲
大浮萍	肥猪草
大浮萍	红莴苣
大理菊	天竺牡丹
大理菊	大理花
大理菊	西番莲
大黄草	大红草
大黄草	白叶
大蛇药	五加通
大蛇药	阿婆伞
大蛇药	火蕾木
大蛇药	凉伞木
大脚菇	白牛肝
大脚菇	山乌茸
大脚菇	蘑菇
大脚菇	白牛头
大麻药	大豆荚
大麻药	大九荚
大麻药	麻里麻
大麻药	麻三段
大麻药	豆叶百步还阳
大粘药	玄麻
大粘药	升麻
大粘药	山毛柳
大粘药	接骨木
大粘药	青白麻叶
大粘药	野麻公
大巢菜	薇
大巢菜	垂水
大巢菜	薇菜
大巢菜	巢菜
大巢菜	野豌豆
大巢菜	野麻豌
大巢菜	箭苦豌豆
大巢菜	救荒野豌豆
大巢菜	春巢菜
大巢菜	普通苕子
大巢菜	野菜豆
大巢菜	黄藤子
大巢菜	苕子
大巢菜	马豆草
大巢菜	肥田草
大巢菜	麦豆藤
大黑药	大黑根
大黑药	大威灵仙
大黑药	翼茎旋覆花
大榆蘑	榆侧耳
大榆蘑	榆耳
大榆蘑	榆蘑
大腹皮	槟榔皮
大腹皮	槟榔壳
大腹皮	大腹毛
大腹皮	茯毛
大腹皮	槟榔衣
大腹皮	大腹绒
大蕉皮	甘蕉果皮
大蕉皮	香蕉皮
大飞扬草	大飞羊
大飞扬草	飞扬
大飞扬草	神仙对座草
大飞扬草	节节花
大飞扬草	大号乳仔草
大飞扬草	蚝刈草
大飞扬草	猫仔癀
大飞扬草	大乳草
大飞扬草	木本奶草
大飞扬草	金花草
大飞扬草	蜻蜓草
大飞扬草	白乳草
大飞扬草	过路蜈蚣
大飞扬草	蚂蚁草
大飞扬草	天泡草
大飞扬草	大乳汁草
大飞扬草	奶子草
大飞扬草	九歪草
大飞扬草	假奶子草
大飞扬草	癣药草
大飞扬草	脚癣草
大飞扬草	毛飞扬
大飞扬草	大本乳仔草
大飞扬草	乳仔草
大飞扬草	红骨大本乳子草
大飞扬草	催乳草
大飞扬草	大奶浆草
大马哈鱼	大马哈
大马哈鱼	大发哈
大马哈鱼	果冬
大马哈鱼	秋鲑
大马哈鱼	秋大麻哈鱼
大风子油	大风油
大风子油	大枫油
大风药叶	纤序鼠李叶
大乌金草	毛乌金
大乌金草	乌花草
大乌金草	土细辛
大乌金草	水细辛
大乌金草	大细辛
大乌金草	白三百棒
大乌金草	白毛细辛
大火草根	野棉花根
大火草根	土白头翁
大火草根	打火草
大叶花椒	大花椒
大叶花椒	麻疯刺
大叶花椒	九牛藤
大叶花椒	公麒麟
大叶花椒	山枇杷
大叶花椒	岩花椒
大叶花椒	铁杆椒
大叶花椒	蚌壳花椒
大叶花椒	钻山虎
大叶花椒	单面针
大叶花椒	大牛王刺
大叶南苏	小南苏
大叶南苏	金竹标
大叶南苏	青竹标
大叶南苏	小过山龙
大叶南苏	爬树龙
大叶南苏	过江龙
大叶南苏	爬山虎
大叶南苏	大青竹标
大叶南苏	小石芝藤
大叶南苏	万年青
大叶桉叶	桉叶
大叶桉叶	大叶有加利
大叶紫苏	野苏子
大叶紫苏	黄花香薷
大叶紫珠	白背木
大叶紫珠	细朴木
大叶紫珠	白狗肠
