金线草	一串红
岩春草	万年柏
小升麻	万年根
麦斛	万年桃
霸王七	万年畑
万年青	万年肥
万年青	万年青根
滇瑞香	万年青矮陀陀
脆骨风	万把刀
鹿心草	万星菌
白茅根	万根草
照山白	万经棵
玉龙鞭	万能草
竹林霄	万花梢
竹吐椒	万花针
蔓荆子	万荆子
萝芙木	万药归宗
算盘子	万豆子
大泡通	万贯钱
透骨香	万里香
咸虾花	万重花
朱砂根	万龙
土田七	三七姜
土三七	三七草
长春花	三万花
老蜗生	三三光
半枫荷根	三不怕
胃友	三两银
三加皮	三五加
红粉	三仙丹
红粉	三仙散
鱼眼草	三仙菜
女金丹	三兄弟
白草莓	三匹风
三十六荡	三十六根
钗子股	三十根
金鸡脚	三叉凤
金鸡脚	三叉剑
三枝叶	三叉叶
猪毛菜	三叉明棵
盲肠草	三叉枪
蛇退步	三叉蕨
虫牙药	三叉金
淫羊藿	三叉风
淫羊藿	三叉骨
滇鸡骨常山	三台高
鸭儿芹	三叶
三加皮	三叶五加
垂盆草	三叶佛甲草
夜关门	三叶公母草
山土瓜	三叶参
盲肠草	三叶婆婆针
三张叶	三叶珍珠草
一箭球	三叶珠
石蝉草	三叶稔
秋枫木	三叶红
地蜂子	三叶翻白草
鸭儿芹	三叶芹
地锦	三叶茄
地蜂子	三叶蒲扇
蛇莓	三叶蔗
地蜂子	三叶蛇子草
地蜂子	三叶蛇莓
酢浆草	三叶酸
酢浆草	三叶酸浆
酢浆草	三叶酸草
朱唇	三叶青
梵天花	三合枫
三张叶	三块瓦
鸡城	三坛蘑
三台红花	三多
水蜈蚣	三夹草
马扫帚	三妹木
夹竹桃	三季白
卤地菊	三尖刀
老鼠刺	三尖角刺
水黄杨木	三岔子
豆瓣绿	三年草
青蒿	三庚草
阳桃	三廉
马扫帚	三必根
阳桃	三态
虫牙药	三托艾
清酒缸	三把苓
五爪龙	三指牛奶
三张叶	三支叶
阳桃	三敛子
猫爪草	三散草
柽柳	三春柳
山莓根	三月泡根
护心胆	三月烂
倒触伞	三月莓
山莓根	三月蔗根
三台红花	三权树
朱砂根	三条根
柴桂	三条筋
淫羊藿	三枝九叶草
蛇退步	三枝标
山柰	三柰子
三叉虎	三桠苦
三叉虎	三桠虎
阳桃	三棱子
水蜈蚣	三棱环
雷公藤	三棱花
香附	三棱草根
爬山豆根	三楞金刚
豌豆七	三步接骨丹
金鸡脚	三滴血
三枝叶	三爪皮
吊岩风	三爪虎
地蜂子	三爪金
三爪金龙	三爪风
女金丹	三父子
地蜂子	三片风
菜豆	三生豆
三加皮	三甲皮
红粉	三白丹
三白草根	三白根
天仙藤	三百两银
木蝴蝶	三百两银药
徐长卿	三百根
吊岩风	三皮风
蛇莓根	三皮风根
柽柳	三眠柳
三点金草	三砚仔草
灵芝	三秀
马蔺	三竖
水蜈蚣	三箭草
三点金草	三耳草
千斤拔	三股丝
铜锤玉带草	三脚丁
黄葵	三脚破
手莨	三脚虎
鹅脚板	三脚蛤蟆
三叉虎	三脚赶
黄葵	三脚鳖
残槁蔃	三苦花
水蜈蚣	三荚草
刺蒺藜	三角刺
牛泷草	三角叶
常春藤	三角尖
地锦	三角枫藤
三角泡	三角灯笼
淫羊藿	三角莲
刺蒺藜	三角蒺藜
满江红	三角薄
花姬蛙	三角蚂蛎
轮叶八宝	三角还阳
酢浆草	三角酸
消毒药	三角金砖
红升麻	三角钻
鲂鱼	三角鳊
荞麦	三角麦
杏叶防风	三足蝉
三楞草	三轮草
红背酸藤	三酸藤
石筋草	三钱草
三钻风	三钻七
歪头菜	三铃子
小升麻	三面刀
九头狮子草	三面青
鹿耳翎	三面风
鲥鱼	三黎
田旋花	三齿草藤
党参	上党人参
党参	上党参
鲚鱼	（上列下鱼）
吊岩风	上木三叉虎
枫香寄生	上树猢狲
上树鳖	上树瓜子
上石田螺	上树田螺
麒麟尾	上树百足
大叶金花草	上树细辛草
木虾公	上树虾
山蒟	上树蛇
三十六荡	上树蜘蛛
山蒟	上树风
木虾公	上树黄泽
鳖甲	上甲
竹节蓼	上石百竹
奶汁树	下乳草
眼睛草	下山连
疬子草	下延叶排草
鸢根	下搜山
天水蚁草	下白鼠曲草
大戟	下马仙
平地木	不出林
小鬼钗	不怕日草
假蒟	不拨子
卷柏	不死草
麦门冬	不死药
茯苓	不死面
理石	不灰木
锁阳	不老药
螳螂	不过
兖州卷柏	不黄草
牛黄	丑宝
石椒草	丑草
山青皮	丕妹
地龙	丘蜿
乌骨鸡	丛冠鸡
侧柏叶	丛柏叶
铅丹	东丹
刺人参	东北刺人参
长白槐木	东北土当归
关木通	东北木通
满山红	东北满山红
苦苣	东北苦菜
赖毛子	东北鹤虱
一枝旗	东南星蕨
羊蹄	东方宿
柚树寄生	东方槲寄生
荭草	东方蓼
知母	东根
淡菜	东海夫人
冬瓜	东瓜
灯盏细辛	东菊
苦楝皮	东行楝根白皮
虎耳草	丝丝草
油柑叶	丝叶
鼠曲草	丝棉草
千年健	丝棱线
白茅根	丝毛草根
丝瓜络	丝瓜壳
丝瓜络	丝瓜布
天罗水	丝瓜水
丝瓜络	丝瓜瓤
丝瓜络	丝瓜筋
丝瓜络	丝瓜网
小木通	丝瓜花
大木通	丝瓜藤
落地金钱	丝线串铜钱
虎耳草	丝绵吊梅
鹿耳翎	丝肚草
白茅根	丝茅
莼	丝莼
杜仲	丝连皮
黄颡鱼	丝鱼
唢呐花	两头毛
腹水草	两头爬
薅田藨	两头粘
腹水草	两头绷
山香圆	两指剑
入地金牛	两边针
鳞瓦韦	两面刀
漆大姑	两面毛
虎刺	两面针
咸酸蔃	丧间
白浆藤	中华假夜来香
水凤仙	中华凤仙花
柔毛水杨梅	中华水杨梅
小野鸡尾	中华金粉蕨
沙糖根	中参
三百银	中叶杜仲
鹧鸪	中国鹧鸪
百合	中庭
鸢根	中搜山
党参	中灵草
矩圆线蕨	中狭线蕨
田葱	中葱
山花生	中蝶草
韭菜	丰本
藜芦	丰芦
娃娃拳	串果崽子
小叶双眼龙	串珠林
酒饼叶	串珠酒饼叶
九子连环草	串白鸡
小南木香	串石藤
荷莲豆菜	串莲草
独脚柑	串金黄
水杨梅	串鱼木
野茶辣	串黄皮
风寒草	临时救
铅丹	丹
铅粉	丹地黄
红曲	丹曲
牡丹皮	丹根
牡丹皮	丹皮
朱砂	丹砂
黍米	丹稷米
铅丹	丹粉
朱砂	丹粟
石长生	丹草
荔枝	丹荔
荭草	丹药头
毛叶算盘子	丹药良
岩春草	丹雪凤尾
鷩雉	丹鸟
广枝仁	为龙子
鸡屎藤	主屎藤
甘遂	主田
全蝎	主簿虫
荔枝	丽枝
疝气草	丽江二叶兰
黄秦艽	丽江金不换
夏枯草	乃东
土茯苓	久老薯
红娘子	么姑虫
慈乌	乌
孩儿茶	乌丁泥
鸢根	乌七
肺形草	乌云盖月
天青地白	乌云盖雪
灰叶	乌仔草
鲻鱼	乌仔鱼
铁包金	乌儿仔
大狼毒	乌吐
射干	乌吹
鸢尾	乌园
孩儿茶	乌垒泥
蹋菜	乌塌菜
大头陈	乌头风
射干	乌婴
毛冬青	乌尾丁
粘人花	乌山黄檀草
乌梢蛇	乌峰蛇
射干	乌扇
乌口树	乌木
铁包金	乌李楝
眼睛草	乌来草
狼杷草	乌杷
榕须	乌松
短小蛇根草	乌枪头
东风橘	乌柑仔
柿饼	乌柿
乌桕木根皮	乌桕木根白皮
鳢鱼	乌棒
水黄杨木	乌棒子
桑棋子	乌椹
五蕊寄生	乌榄树寄生
鼠李	乌槎子
乌榄	乌橄榄
金鸡脚	乌毛丁
龙船乌泡	乌泡天
小乌泡根	乌泡根
乌藨连	乌泡连
黑面叶	乌漆臼
火炭母草	乌炭子
孩儿茶	乌爹泥
丝瓜子	乌牛子
皂荚	乌犀
墨	乌玉块
南赤匏	乌瓜
铁包金	乌痧头
青鱼	乌皖
岗梅根	乌皮柴
翻白草	乌皮浮儿
海鳗	乌皮鳗
野鸦椿子	乌眼睛
鹿藿	乌眼睛豆
铁包金	乌石米
蕨	乌糯葛其
合欢花	乌绒
青鱼	乌缁
鼠李	乌罡子
九管血	乌肉鸡
桃金娘	乌肚子
翅柄铁线蕨	乌脚芒
肾蕨	乌脚蕨
荸荠	乌芋
黑脂麻	乌芝麻
大乌金草	乌花草
荸荠	乌茨
乌桕子	乌茶子
滇常山花	乌药花
龙船乌泡	乌莓
菱壳	乌菱壳
玉竹	乌萎
牛腿薯	乌葛
石蒜	乌蒜
射干	乌蒲
射干	乌蓬
覆盆子	乌蔗子
小野鸡尾	乌蕨
插田泡果	乌薦子
羊角藤	乌藤
刘寄奴	乌藤菜
荡皮参	乌虫参
乌梢蛇	乌蛇
竹蜂	乌蜂
过坛龙	乌蝇翼
丁癸草	乌蝇翼草
落地金钱	乌蝇草
金刚散	乌血藤
木通	乌覆
蕨根	乌角
黑大豆	乌豆
大肺筋草	乌豆草
乌贼鱼腹中墨	乌贼墨
海螵蛸	乌贼骨
海螵蛸	乌贼鱼骨
五气朝阳草	乌金丹
铁包金	乌金藤
铅	乌铅
铅	乌锡
狼杷草	乌阶
青鱼	乌青
缤木	乌饭叶
土千年健	乌饭果根
南烛根	乌饭树根
鳢鱼	乌鱼
鳢鱼骨	乌鱼骨
海螵蛸	乌鲗骨
鲻鱼	乌鲻
鲂鱼	乌鳊
鳢鱼	乌鳢
鳢鱼骨	乌鳢头骨
鳢鱼胆	乌鳢胆
乌骨鸡	乌鸡
小贯众	乌鸡儿
鸢尾	乌鸢
木馒头	乌鸦馒头
黑脂麻	乌麻
黑脂麻	乌麻子
麻油	乌麻油
甜茶藤	乌鼓
乌鼓莓	乌鼓草
木防己	乌龙
黄杨木	乌龙木
铁包金	乌龙根
丁癸草	乌龙草
马勃	乌龙菌
马桑根	乌龙须
龟甲	乌龟壳
地不容	乌龟抱蛋
地不容	乌龟梢
贯众	乐藻
薜荔	乒乓抛藤
薜荔	乒抛藤
百部	九丛根
走马胎	九丝马
款冬花	九九花
了哥王子	九信草子
了哥王	九信菜
百部	九十九条根
酸浆	九古牛
狗舌草	九叶草
紫背金盘草	九味草
风轮菜	九塔草
瓦草	九大牛
景天	九头三七
芙蓉花	九头花
落地荷花	九头青
水蜈蚣	九头香
墓头回	九头鸟
山姜	九姜连
土圞儿	九子羊
浮萍	九子萍
马牙七	九子连
石决明	九孔石决明
凤眼果	九层皮
斑叶兰	九层盖
七层楼	九层衣
鸡血藤	九层风
千里光	九岭光
象皮木	九度叶
构皮麻	九得藤
鸢尾	九把刀
凤尾草	九把连环剑
岩陀	九月岩陀
粗叶悬钩子	九月泡
鼻血雷	九月生
杏叶防风	九月白花草
小龙胆草	九月花
女金丹	九月豆
银不换	九条牛
书带蕨	九根索
大飞扬草	九歪草
硫黄	九灵黄童
九牛造	九牛七
石椒草	九牛二虎草
杏叶防风	九牛燥
金果榄	九牛胆
刘寄奴	九牛草
柳叶菜	九牛造接骨丹
胡子七	九百棒
草本威灵仙	九盖草
金线草	九盘龙
罗裙带	九筋草
仰天钟	九罐花
狗筋蔓	九股牛七
八角莲	九臼
山大刀	九节仔头
肿节风	九节兰
山大刀	九节木
山大刀根	九节木根
山大刀根	九节根
鸭脚木皮	九节牛
红三七	九节犁
九头狮子草	九节篱
夹竹桃	九节肿
水蓑衣	九节花
三白草根	九节藕
九子连环草	九节虫
红三七	九节雷
芜菁	九英菘
芜菁	九英蔓菁
金果榄	九莲子
鸡脚刺	九莲小檗
百部	九虫根
蜘蛛香	九转香
草本威灵仙	九轮草
老君须	九连台
槐角	九连灯
蚤休	九道箍
仰天钟	九里罐
海鳗	九鳝
山药	九黄姜
红孩儿	九齿莲
胡子七	九龙丹
千里光	九龙光
地锦草	九龙吐珠草
千里光	九龙明
瑞连草	九龙箭
金果榄	九龙胆
芫花	九龙花
洋虫	九龙虫
盘龙参	九龙蛇
捆仙丝	九龙香
白术	乞力伽
鲟鱼	乞里麻鱼
积雪草	乞食碗
山蒟	也侧苗
小篇蓄	习见蓼
龙船花	买子木
买麻藤	买子藤
血余	乱发
海金沙草	乱头发
石枣子	乱角莲
大飞扬草	乳仔草
山海螺	乳夫人
乳香	乳头香
牛奶树	乳汁公树
牛奶树	乳汁麻木
番木瓜	乳瓜
薅田藨	乳痈泡
风气草	乳痈药
血当归	乳突叶酸模
花被单	乳肿药
石花	乳花
泽漆	乳草
山海螺	乳薯
尖山橙	乳藤
构皮麻	乳藤草
刺瓜	乳蚕
乳腐	乳饼
土三七	乳香草
蛴螬	乳齐
七层楼	了刁藤
紫葳茎叶	争墙风
牵牛子	二丑
黄芪	二人抬
水苦荬	二代草
山蒟	二十四症
马鞍藤	二叶红薯
腹水草	二头马兰
金银花	二宝花
吊竹梅	二打不死
灵砂	二气砂
菜豆	二生豆
金银花	二花
忍冬藤	二花秧
蚕沙	二蚕沙
鸡冠草	二裂叶委陵菜
鸡冠草	二裂翻白草
扇子七	二郎伞
鹅不食草	二郎剑
鹅不食草	二郎戟
草本威灵仙	二郎箭
重唇鱼	于哥
辽瓦松	于滴落
络石藤	云丹
云母	云华
滇丹参	云南丹参
冻青叶	云南冻青叶
红大戟	云南大戟
青木香	云南根
白云花根	云南独活
穆子	云南稗
滇山茶	云南茶花
焮麻	云南荨麻
相思子	云南豆子
滇南马钱	云南马钱
凤庆鸡血藤	云南鸡血藤
四时青	云实叶
当归	云归
蛇地钱	云斑
鸡嗦子果	云母树
白矾	云母矾
云母	云液
百灵草	云百部
云母	云砂
菜豆	云稿豆
云母	云粉石
木耳	云耳
旱芹	云芎
石蕊	云芝茶
云母	云英
石蕊	云茶
菜豆	云豆
松萝	云雾草
常山	互草
六方藤	五俭藤
盐肤木根	五倍子根
盐肤木根	五倍根
小青	五兄弟
毛麝香	五凉草
泽漆	五凤灵枝
石见穿	五凤花
泽漆	五凤草
五加叶	五加
小果蔷薇基	五加莲
大蛇药	五加通
蛇含	五匹风
木通根	五叶木通根
老鹳草	五叶联
老鹳草	五叶草
乌鼓莓	五叶莺
蛇含	五叶蛇莓
石灰	五味
五月茶	五味叶
五月茶	五味菜
古钮菜	五地茄
古钮菜	五宅茄
石龙子	五寸棍
喉咙草	五岳朝天
郁金	五帝足
阿魏	五彩魏
金丝桃	五心花
小青	五托莲
佛手柑	五指柑
五指毛桃	五指牛奶
变豆菜	五指疳
石壁莲	五指草
阳桃	五敛
阳桃	五敛子
马齿苋	五方草
蛇含	五星草
金爪儿	五星黄
倒触伞	五月泡
薅田藨	五月红
龙船花	五月花
薅田藨	五月蔗刺
木香	五木香
大狼毒	五朵下西山
泽漆	五朵云
车前草	五根草
五味子	五梅子
白花菜	五梅草
红树皮	五梨跤
蕲蛇	五步蛇
蕲蛇	五步跳
草乌头	五毒根
金钟茵陈	五毒草
眼镜蛇	五毒蛇
黄龙藤	五沙藤
泽漆	五灯头草
红升丹	五灵升药
泽漆	五点草
伽蓝菜	五爪三七
红毛五加皮	五爪刺
密脉鹅掌柴	五爪叶
伽蓝菜	五爪田七
象皮木	五爪皮
柚皮	五爪红
过坛龙	五爪蕨
五爪金龙	五爪藤
蛇含	五爪虎
金刚散	五爪金
过坛龙	五爪黑蕨
乌鼓莓	五爪龙草
乌鼓莓	五爪龙藤
广枝仁	五牛子
绿兰花	五瓣梅
老鹳草	五瓣花
独脚柑	五疳草
泽漆	五盏灯
五叶壁藤	五盘藤
百眼藤	五眼子
南酸枣	五眼果
爵床	五累草
芜菁	五美菜
红树皮	五脚里
林檎	五色林擒
五色梅叶	五色花叶
红莲子草	五色草
芭茅	五节芝茎
广西过路黄	五莲花
五爪金龙	五虎下西山
蛇含	五虎草
通城虎	五虎通城
烟油	五行丹
马齿苋	五行草
通草	五角加皮
喉咙草	五角星草
小地扭	五角苓
薏苡根	五谷根
五加皮	五谷皮
三白草	五路白
仙鹤草	五蹄风
毛麝香	五郎草
九龙藤	五里藤
楮皮间白汁	五金胶漆
雀梅藤	五金龙
木香	五香
八角茴香	五香八角
黄龙藤叶	五香藤叶
五味藤	五马巡城
银耳	五鼎芝
老鹳草	五齿耙
五叶藤	五齿苓
梵天花	五龙会
乌鼓莓	五龙草
广东万年青	井干草
井底泥	井底沙
凤尾草	井茜
凤尾草	井阑草
亚乎奴	亚乎鲁
豨莶	亚婆针
野茶辣	亚洛轻
亚乎奴	亚红龙
野茶辣	亚罗青
苦壶卢	亚腰壶卢
亚麻子	亚麻仁
马刀	些
鸢尾	交剪七
百舌鸟	交喙
卷柏	交时
海螺	交螺
甘青铁线莲	亦蒙
三棱	京三棱
大戟	京大戟
川芎	京芎
苦壶卢	京葫芦
母丁香	亭灵独生
葛上亭长	亭长
麻疯树	亮桐
三七	人参三七
隔山香	人参归
人参叶	人参苗
土党参	人参薯
血余	人发灰
马勃	人头菌
柽柳	人柳
人尿	人溺
紫河车	人胞
人参	人衔
砒石	人言
灵砂	人造朱砂
小灵丹	人造雌黄
人面子	人面果
蝙蝠藤	什子苗
薄荷	仁丹草
川楝子	仁枣
山藿香	仁沙草
风气草	仁皂刺
烟草	仁草
槟榔	仁频
蒲公英	仆公罂
蒲公英	仆公英
蜗牛	仆累
莺	仓庚
蜻蜓	仓螳
蝠鱼	仔花
龙船花	仙丹花
黄精	仙人余粮
凉粉草	仙人冻
仙人球	仙人头
松萝	仙人头发
金钱草	仙人对坐草
仙人球	仙人拳
马牙半支	仙人指甲
倒生莲	仙人架桥
六股筋	仙人茶
凉粉草	仙人草
地骷髅	仙人骨
蝼蛄	仙姑
马甲子根	仙姑勒
仙人掌	仙巴掌
苍术	仙术
娑罗子	仙栗
腹水草	仙桥草
淫羊藿	仙灵毗
淫羊藿	仙灵脾
淫羊藿根	仙灵脾根
东风菜	仙白草
凉粉草	仙草
蛤蚧	仙蟾
蚕豆	仙豆
土茯苓	仙遗粮
龙芽草根	仙鹤草根
鹤草芽	仙鹤草根芽
蝙蝠	仙鼠
玳玳花	代代花
海月	以下鱼
鲟鱼	仲明鱼
紫苏子	任子
鼠妇	伊威
无漏子	伊拉克蜜枣
伊贝母	伊贝
飞廉	伏兔
夏天无	伏地延胡索
毛大丁草	伏地老
附地菜	伏地草
附地菜	伏地菜
紫筒草	伏地蜈蚣草
蝉蜕	伏壳
水栀	伏尸栀子
虎刺	伏牛花
飞廉	伏猪
南瓜	伏瓜
磁石	伏石母
茯神	伏神
蝙蝠	伏翼
旋覆花	伏花
拳参	伏菟
蝉蜕	伏蜻
秫米	众
拳参	众戎
无花果	优昙钵
波罗蜜	优珠昙
石韦	会全草
五味子	会及
红三七	伞墩七
胡萝卜	伞形棱菜
大泡通	伞把木
兔儿伞	伞把草
功劳木	伞把黄连
苦竹叶	伞柄竹
甜茶	伞花八仙叶
兔儿伞	伞草
虫牙药	伤寒头
落地生根	伤药
小花八角枫	伪八角枫
贯众	伯芹
贯众	伯药
贯众	伯萍
重唇鱼	似鲮鳗鱼
沉香	伽南香
肾蕨	何汗蕨
何首乌	何相公
荭草花	何草花
余甘子	余甘
白花丹	余笑花
禹余粮	余粮石
番荔枝	佛头果
宝盖草	佛座
莲须	佛座须
佛手柑	佛手
头顶一颗珠	佛手七
手掌参	佛手参
三七	佛手山漆
卷柏	佛手草
石蝴	佛手蚶
佛手柑	佛手香橼
山药	佛掌薯
佛手花	佛柑花
紫薇花	佛相花
苍耳	佛耳
鼠曲草	佛耳草
洋金花	佛花
紫河车	佛袈裟
蚕蜕	佛退
破骨风	你海腊瓜
柘树果实	佳子
柏子仁	侧柏子
水绵	侧梨
鱼腥草	侧耳根
牛心朴	侧花徐长卿
蜀葵花	侧金盏
黄蜀葵花	侧金盏花
辛夷	侯桃
莎草	侯莎
蟋蟀	促织
廉姜	俊
当归藤	保妇强
砒石	信石
酸藤果	信筒子
水仙花	俪兰
山药	修脆
鸡血七	倒丝莲
倒卵叶五加	倒刨牛
倒扣草	倒刺草
倒扣草	倒勒草
吊兰	倒吊兰
榕须	倒吊松根
燕麦灵	倒吊花
牛大力	倒吊金钟
黄花倒水莲	倒吊黄
黄花倒水莲	倒吊黄花
倒扣草	倒吞吞
蔓草虫豆	倒地一条根
岩扫把	倒地抽
岩扫把	倒地掐
落地荷花	倒地莲
入地蜈蚣	倒地蜈蚣
三角泡	倒地铃
心叶黄花仔	倒地麻
腹水草	倒地龙
虎耳草	倒垂莲
见血清	倒岩提
丝茅七	倒扎花
丝茅七	倒扎草根
牛含水	倒打草
窄吐南蛇藤	倒披针叶南蛇藤
钩藤	倒挂刺
扛板归	倒挂紫金钩
倒扣草	倒挂草
莸	倒挂金钟
倒扣草	倒捋草
杓儿菜	倒提壶
华萝摩	倒插花
倒扣草	倒梗草
泽漆	倒毒伞
金挖耳	倒盖菊
竹叶参	倒竹伞
薅田藨	倒筑伞
磨盘草	倒绑草
虎刺	倒翻针
爵床	倒花草
水黄杨木	倒莲花
荷莲豆菜	倒藤匙
地牯牛	倒行狗子
扛板归	倒金钩
倒扣草	倒钩草
入地蜈蚣	倒麒麟
通草	倚商
南瓜	倭瓜
南瓜子	倭瓜子
竹节草	倭青草
鮧鱼	偃额白鱼
黄葵	假三态
凤眼果	假九层皮
盐肤子	假五味子
土人参	假人参
望江南	假决明
野茶辣	假吴萸
伤寒草	假咸虾
白浆藤	假夜来香
大叶紫珠	假大艾
黑面防己	假大薯
野菠菜	假大黄
青天葵	假天麻
大飞扬草	假奶子草
水麻	假密蒙
山猫儿	假射干
锯齿王	假山桃
通骨消根	假山苦瓜
铁马鞭	假山豆
翠云草	假岩柏
伽蓝菜	假川连
隔山香	假当归
山甘草	假忍冬藤
草龙	假木瓜
水团花	假杨梅
地桃花	假桃花
水稻清	假槟榔
叶下珠	假油柑
山芝麻	假油麻
卜芥	假海芋
胡颓子	假灯笼
野烟叶	假烟叶
山扁豆	假牛柑
鸡骨草	假牛甘子
海螺	假猪螺
野甘草	假甘草
苍耳	假矮瓜
山石榴	假石榴
艳山姜	假砂仁
扭肚藤	假素馨
决明子	假绿豆
黄葵	假芙蓉
山芝麻	假芝麻
野芫荽	假芫茜
滇地黄连	假苦楝
磨盘草	假茶仔
野茶辣	假茶辣
野木耳菜	假茼蒿
心叶荆芥	假荆芥
菝葜	假草薛
野木瓜	假荔枝
白沙虫药	假荨麻
橹罟子	假菠萝
假蒟根	假萎根
假蒟	假著
蛇葡萄	假葡萄
地锦	假葡萄藤
假蒟	假蒌
假蒟子	假蒟果穗
剪刀股	假蒲公英
三角泡	假蒲达
马扫帚	假蓝根
空心苋	假蕹菜
大头陈	假薄荷
五叶藤	假薯藤
蛇百子	假藿香
南方露珠草	假蛇床子
亮菌	假蜜环菌
血党	假血党
大金香炉	假豆稔
大田基黄	假辣蓼
红旱莲	假连翘
黑面防己	假通城虎
大泡通	假通脱木
酒饼叶	假酒饼叶
白辣蓼	假长尾叶蓼
砂茴香	假防风
过塘蛇	假雍菜
大青根	假青根
山藿香	假香菜
四楞筋骨草	假马鞭草
萝芙木	假鱼胆
牛耳枫子	假鸦胆子
山芝麻	假麻甲
了哥王	假黄皮
大叶藤	假黄藤
野黄麻	假黄麻
鹿药	偏头七
半枝莲	偏头草
大种半边莲	偏杆草
半边莲	偏莲
麦饭石	健康石
草豆蔻	偶子
冻绿刺	偶栗子
蟑螂	偷油婆
菊花	傅延年
阿胶	傅致胶
小龙胆草	傍雪开
大飞扬草	催乳草
牛尾草	催产草
尖槐藤	催奶藤
杜鹃	催归
甲香	催生子
绵枣儿	催生草
蝉蜕	催米虫壳
樟柳头	像甘蔗
章鱼	僖鱼
野孤	僧帽花
白僵蚕	僵虫
白僵蚕	僵蚕
苦地胆	儿童草
孩儿茶	儿茶
孩儿茶	儿茶膏
知母	儿草
知母	儿踵草
小巢菜	元修菜
玄参	元参
小地扭	元叶母草
麝香	元寸香
玄明粉	元明粉
龟甲	元武版
水银	元水
水银	元珠
龙眼肉	元眼肉
糯米	元米
新疆延胡索	元胡
延胡索	元胡索
黄芩	元芩
千层塔	充天松
三棱	光三棱
滑背草鞋	光叶栓果菊
亮叶桦叶	光叶桦叶
入地金牛	光叶花椒
山苦英	光叶苦莫菜
金鸡尾巴草根	光叶金星蕨
粗叶耳草	光天化戟
丽江山慈菇	光慈菇
藕	光旁
罗勒子	光明子
朱砂	光明砂
绵参	光杆琼
苍耳七	光板
罗汉果	光果木鳖
滑背草鞋	光栓果菊
气桐子	光桐
龙角草	光棍草
小野鸡尾	光棍药
钓樟根皮	光狗棍根皮
毛鸡屎藤	光珠子
铅粉	光粉
野苋菜	光苋菜
光慈姑	光菇
亮菌	光菌
藕节	光藕节
青榨槭	光陈子
苜蓿	光风
苜蓿	光风草
鰕虎鱼	光鱼
细叶防风	克买克
柚树寄生	克李寄生
鬼羽箭	克草
夹蛇龟	克蛇龟
勒鱼	克鱼
菟丝	兔丘
苦荬菜	兔仔草
苦苣	兔仔菜
菟丝	兔儿丝
鸦葱	兔儿奶
巴戟天	兔儿肠
面根藤	兔儿苗
金边兔耳	兔儿风
羊蹄草	兔子参
列当	兔子拐杖
兔毛蒿	兔子毛
